日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/01/02,"1,213,702","44,974,706",36.90,37.10,36.90,37.10,+0.15,823
109/01/03,"1,535,985","57,003,223",37.10,37.30,36.95,37.05,-0.05,"1,014"
109/01/06,"1,591,524","58,381,453",37.00,37.05,36.55,36.85,-0.20,"1,147"
109/01/07,"1,024,274","37,691,427",36.75,36.90,36.65,36.90,+0.05,680
109/01/08,"1,080,130","39,581,990",36.90,36.90,36.55,36.55,-0.35,798
109/01/09,"613,208","22,544,388",36.60,36.90,36.60,36.75,+0.20,406
109/01/10,"968,897","35,743,974",36.90,36.95,36.85,36.90,+0.15,642
109/01/13,"2,878,742","108,665,177",37.30,37.95,37.30,37.85,+0.95,"1,680"
109/01/14,"2,490,195","95,554,866",38.20,38.60,38.05,38.20,+0.35,"1,527"
109/01/15,"1,346,174","51,129,912",38.30,38.30,37.85,38.00,-0.20,"1,058"
109/01/16,"1,194,924","45,407,514",37.90,38.10,37.90,38.10,+0.10,744
109/01/17,"1,952,873","74,996,507",38.10,38.55,38.10,38.50,+0.40,"1,044"
109/01/20,"1,840,590","71,107,833",38.55,38.75,38.45,38.60,+0.10,"1,090"
109/01/30,"6,363,816","236,875,289",36.60,38.00,36.60,37.15,-1.45,"3,558"
109/01/31,"2,250,311","84,524,755",37.15,37.95,37.15,37.70,+0.55,"1,315"
109/02/03,"2,642,069","97,857,077",36.95,37.55,36.60,37.55,-0.15,"1,494"
109/02/04,"1,622,823","61,249,790",37.50,37.90,37.35,37.70,+0.15,950
109/02/05,"1,241,908","46,755,858",37.70,37.85,37.50,37.55,-0.15,754
109/02/06,"2,168,827","82,388,658",37.65,38.20,37.65,38.10,+0.55,"1,088"
109/02/07,"2,456,973","93,006,410",38.10,38.15,37.60,37.60,-0.50,"1,386"
109/02/10,"1,320,098","49,538,908",37.40,37.75,37.15,37.55,-0.05,782
109/02/11,"1,012,293","38,261,336",37.50,37.90,37.50,37.85,+0.30,566
109/02/12,"1,805,832","68,844,572",38.00,38.45,37.80,38.00,+0.15,"1,072"
109/02/13,"1,472,757","56,015,866",38.05,38.20,37.90,37.95,-0.05,933
109/02/14,"1,242,097","47,276,608",38.00,38.15,37.95,38.10,+0.15,755
109/02/17,"2,287,593","87,921,742",38.10,38.65,38.10,38.60,+0.50,"1,454"
109/02/18,"3,136,631","123,059,396",38.85,39.55,38.70,39.30,+0.70,"1,900"
109/02/19,"2,080,668","81,801,680",39.35,39.55,39.10,39.25,-0.05,"1,217"
109/02/20,"1,433,563","56,032,051",39.20,39.30,39.00,39.05,-0.20,885
109/02/21,"1,105,180","43,201,620",39.20,39.25,39.00,39.00,-0.05,798
109/02/24,"2,174,015","83,950,751",39.00,39.00,38.35,38.55,-0.45,"1,437"
109/02/25,"2,090,564","79,878,717",38.05,38.50,37.90,38.40,-0.15,"1,214"
109/02/26,"1,214,178","46,592,566",38.35,38.60,38.10,38.35,-0.05,726
109/02/27,"1,884,340","72,014,529",38.35,38.45,38.00,38.00,-0.35,"1,126"
109/03/02,"3,442,286","129,664,374",37.50,38.00,37.25,37.50,-0.50,"1,903"
109/03/03,"1,518,549","57,883,679",37.85,38.25,37.85,38.05,+0.55,937
109/03/04,"1,201,625","45,608,604",37.95,38.05,37.85,37.95,-0.10,749
109/03/05,"1,480,452","56,841,585",38.20,38.70,38.10,38.45,+0.50,813
109/03/06,"1,480,484","56,598,687",38.45,38.45,38.05,38.20,-0.25,811
109/03/09,"3,165,567","118,466,400",38.00,38.00,37.20,37.20,-1.00,"2,080"
109/03/10,"4,928,455","179,352,712",36.50,36.80,36.15,36.70,-0.50,"2,813"
109/03/11,"2,391,026","88,650,262",37.20,37.55,36.60,36.90,+0.20,"1,635"
109/03/12,"4,420,697","158,457,317",36.70,36.70,35.55,35.60,-1.30,"2,693"
109/03/13,"6,948,688","229,006,091",32.90,34.15,32.35,34.00,-1.60,"4,007"
109/03/16,"2,999,622","100,314,114",34.00,34.00,33.10,33.20,-0.80,"1,967"
109/03/17,"4,413,960","141,645,320",31.70,32.95,31.65,31.85,-1.35,"2,791"
109/03/18,"3,955,634","126,358,933",31.90,32.35,31.75,31.80,-0.05,"2,589"
109/03/19,"7,485,495","219,784,266",31.25,31.30,28.80,29.30,-2.50,"4,353"
109/03/20,"4,548,732","141,037,655",29.70,31.70,29.70,31.25,+1.95,"2,769"
109/03/23,"2,716,653","83,076,149",29.80,30.95,29.80,30.70,-0.55,"1,282"
109/03/24,"3,786,368","121,283,470",31.70,32.45,31.60,31.85,+1.15,"2,646"
109/03/25,"3,422,744","113,334,776",32.50,33.45,32.50,33.25,+1.40,"2,111"
109/03/26,"2,212,731","73,031,675",33.25,33.40,32.55,33.30,+0.05,"1,309"
109/03/27,"3,047,994","102,775,878",33.80,34.25,33.20,33.20,-0.10,"1,554"
109/03/30,"2,941,428","98,569,152",32.60,33.95,32.50,33.90,+0.70,"1,436"
109/03/31,"4,021,249","149,791,488",37.25,37.25,37.25,37.25,+3.35,"1,672"
109/04/01,"13,142,000","501,346,053",38.00,39.00,37.40,37.90,+0.65,"7,067"
109/04/06,"5,499,447","208,712,286",38.10,38.20,37.55,37.95,+0.05,"3,095"
109/04/07,"5,583,621","214,023,185",38.25,38.50,38.15,38.30,+0.35,"2,681"
109/04/08,"4,336,173","166,642,485",38.50,38.60,38.30,38.45,+0.15,"2,265"
109/04/09,"4,553,945","175,539,790",38.75,38.85,38.20,38.45, 0.00,"2,431"
109/04/10,"3,218,616","124,724,861",38.45,38.90,38.40,38.85,+0.40,"1,701"
109/04/13,"7,029,474","277,049,147",39.20,39.95,38.80,39.45,+0.60,"3,608"
109/04/14,"6,329,071","253,223,615",39.60,40.20,39.60,40.15,+0.70,"3,145"
109/04/15,"8,317,712","341,170,587",40.40,41.80,40.40,41.80,+1.65,"4,213"
109/04/16,"6,589,344","272,735,522",41.90,41.90,40.90,41.25,-0.55,"3,869"
109/04/17,"7,677,743","314,264,112",41.40,41.75,40.20,40.45,-0.80,"4,461"
109/04/20,"4,900,257","198,976,458",40.65,41.10,40.05,40.90,+0.45,"2,349"
109/04/21,"6,209,692","253,836,218",41.05,41.35,40.60,40.65,-0.25,"3,484"
109/04/22,"4,860,938","196,261,086",40.35,40.90,39.80,40.85,+0.20,"2,340"
109/04/23,"2,697,601","110,517,281",41.25,41.25,40.75,40.90,+0.05,"1,505"
109/04/24,"2,241,720","91,549,185",41.00,41.00,40.75,40.75,-0.15,"1,239"
109/04/27,"3,733,818","153,722,351",41.10,41.30,40.80,41.20,+0.45,"1,800"
109/04/28,"4,985,126","207,942,592",41.40,42.00,41.30,42.00,+0.80,"2,664"
109/04/29,"6,517,603","278,704,353",42.20,43.25,42.20,42.90,+0.90,"3,641"
109/04/30,"5,305,554","227,973,890",43.30,43.40,42.60,43.10,+0.20,"3,116"
109/05/04,"4,386,098","188,781,203",42.75,43.50,42.25,43.45,+0.35,"2,421"
109/05/05,"4,922,827","217,087,677",43.45,44.90,43.25,44.75,+1.30,"3,025"
109/05/06,"10,339,543","463,443,499",45.00,46.00,43.85,43.90,-0.85,"5,572"
109/05/07,"4,389,049","195,147,995",43.90,45.00,43.70,45.00,+1.10,"2,536"
109/05/08,"4,854,992","219,868,390",45.25,45.80,45.00,45.40,+0.40,"2,503"
109/05/11,"5,642,695","254,084,106",45.60,45.65,44.80,44.90,-0.50,"3,332"
109/05/12,"21,065,254","887,367,098",41.60,43.30,41.60,41.80,-3.10,"11,982"
109/05/13,"6,992,898","291,499,366",41.30,42.20,41.10,41.80, 0.00,"3,682"
109/05/14,"5,485,619","227,084,185",41.75,41.95,41.00,41.10,-0.70,"3,305"
109/05/15,"5,449,779","223,178,151",41.60,41.60,40.40,41.25,+0.15,"3,073"
109/05/18,"2,702,775","111,917,601",41.30,41.80,40.70,41.55,+0.30,"1,523"
109/05/19,"5,047,780","212,545,989",42.00,42.45,41.65,42.30,+0.75,"3,057"
109/05/20,"3,778,985","158,562,320",42.30,42.40,41.65,41.80,-0.50,"1,940"
109/05/21,"2,203,335","92,578,339",41.65,42.25,41.55,42.05,+0.25,"1,229"
109/05/22,"2,831,879","118,094,510",41.90,42.00,41.50,41.55,-0.50,"1,841"
109/05/25,"1,619,699","67,534,008",41.55,41.95,41.35,41.85,+0.30,904
109/05/26,"2,158,487","90,641,904",41.90,42.25,41.80,41.95,+0.10,"1,177"
109/05/27,"2,038,853","85,434,364",42.00,42.15,41.75,41.80,-0.15,"1,252"
109/05/28,"2,139,568","89,266,770",41.90,41.90,41.55,41.65,-0.15,"1,286"
109/05/29,"3,749,269","156,486,086",41.55,42.15,41.30,41.30,-0.35,"2,419"
109/06/01,"2,440,073","102,465,483",41.90,42.15,41.60,42.00,+0.70,"1,537"
109/06/02,"2,434,451","102,782,625",42.30,42.30,42.00,42.20,+0.20,"1,480"
109/06/03,"2,764,291","116,858,769",42.30,42.50,42.10,42.40,+0.20,"1,768"
109/06/04,"1,307,750","55,427,806",42.50,42.55,42.30,42.40, 0.00,889
109/06/05,"1,285,518","54,548,912",42.45,42.50,42.30,42.45,+0.05,892
109/06/08,"3,346,309","143,207,567",42.55,43.15,42.45,43.10,+0.65,"1,993"
109/06/09,"1,947,778","83,864,525",43.15,43.20,42.80,43.15,+0.05,"1,208"
109/06/10,"1,928,421","83,131,384",43.00,43.20,42.90,43.20,+0.05,"1,224"
109/06/11,"4,115,659","175,567,440",43.20,43.20,42.15,42.35,-0.85,"2,322"
109/06/12,"2,962,560","123,346,494",41.00,42.00,41.00,42.00,-0.35,"1,718"
109/06/15,"2,257,629","94,604,868",42.15,42.15,41.75,41.85,-0.15,"1,387"
109/06/16,"1,548,351","65,111,877",41.95,42.40,41.90,42.10,+0.25,"1,046"
109/06/17,"1,419,089","59,958,898",42.30,42.40,42.10,42.30,+0.20,"1,128"
